Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
2025 HD53,18.426475778102755,22.162577464788733,168,4.127456898148148,0.71 / 2.01,LS_peak=0.71 h; Adopted=2.01 h,0.7081963578591995,2.0062575302391,3,4.0125150604782,97.80759116493454,0.2182035787727,0.6547909643255352,0.8589017005888238,0.2041107362632885,1.2225916673681425,reliable,0.7125,4,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HD53,C:\Users\vikas\Downloads\ls_outputs\2025_HD53\step14_final_summary.csv
2025 HE51,20.112989066465484,23.15172222222222,257,6.02151019675926,2.24 / 2.24,LS_peak=2.24 h; Adopted=2.24 h,2.23622815817752,2.23622815817752,2,4.472456316355039,8.014203864412366,0.4476338826843924,0.4498475257669554,0.622084249818009,0.1722367240510536,1.5102663743982876,reliable,0.5825,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HE51,C:\Users\vikas\Downloads\ls_outputs\2025_HE51\step14_final_summary.csv
2025 HE53,17.559378815287022,22.96621333333333,155,4.121013518518519,32.97 / 32.97,LS_peak=32.97 h; Adopted=32.97 h,32.968108148148154,32.968108148148154,2,,,0.3552155629655688,0.5869880327547499,0.7710516928813895,0.1840636601266396,1.3870311838567069,ambiguous,0.555,7,8,32.968:0.555; 7.536:0.240; 9.309:0.090; 5.310:0.072; 18.617:0.018,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HE53,C:\Users\vikas\Downloads\ls_outputs\2025_HE53\step14_final_summary.csv
2025 HF51,6.8279429124123086,23.65707608695653,190,6.840851597222222,9.88 / 9.88,LS_peak=9.88 h; Adopted=9.88 h,9.8755150877193,9.8755150877193,4,,,0.6719092331665172,0.4519867726805033,0.6895666412165475,0.2375798685360441,1.856793868254221,insufficient,0.29,8,8,19.751:0.290; 17.058:0.217; 10.678:0.190; 9.876:0.135; 34.115:0.095,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HF51,C:\Users\vikas\Downloads\ls_outputs\2025_HF51\step14_final_summary.csv
2025 HF53,18.55998938907932,23.292271739130435,187,4.120014363425926,0.95 / 0.95,LS_peak=0.95 h; Adopted=0.95 h,0.9473565961410512,0.9473565961410512,2,1.8947131922821023,1.8276847422314968,0.1280017391304341,0.4332329169944025,0.5535542309413017,0.1203213139468992,1.1251247951873355,insufficient,0.325,8,8,0.947:0.325; 0.878:0.242; 0.294:0.195; 0.670:0.095; 0.147:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HF53,C:\Users\vikas\Downloads\ls_outputs\2025_HF53\step14_final_summary.csv
2025 HG53,19.096046492401403,23.072379310344825,181,4.1171347916666665,3.80 / 31.62,LS_peak=3.80 h; Adopted=31.62 h,3.800432115384615,31.6195952,3,,,0.7204535594369261,0.6482064203813209,0.8826152421116724,0.2344088217303515,1.941696839775757,ambiguous,0.43,5,8,31.620:0.430; 3.800:0.290; 7.601:0.195; 5.812:0.065; 2.906:0.020,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HG53,C:\Users\vikas\Downloads\ls_outputs\2025_HG53\step14_final_summary.csv
2025 HH53,17.778906685381422,22.97184210526316,136,4.1185815046296295,12.75 / 12.75,LS_peak=12.75 h; Adopted=12.75 h,12.754316917562724,12.754316917562724,2,25.508633835125448,1.1086597787762005,0.4963321703675886,0.4605097603844967,0.6565894852608167,0.1960797248763199,1.5795481461125216,insufficient,0.4225,5,8,25.509:0.422; 12.754:0.297; 3.994:0.175; 6.178:0.065; 2.396:0.040,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HH53,C:\Users\vikas\Downloads\ls_outputs\2025_HH53\step14_final_summary.csv
2025 HJ53,19.302973862331367,22.07768888888889,183,4.117573518518519,2.16 / 4.32,LS_peak=2.16 h; Adopted=4.32 h,2.1600385670916817,4.320077134183364,4,8.640154268366727,96.5009250868252,0.265697757536765,0.529437567964397,0.6600484671375177,0.1306108991731207,1.2772593866337278,reliable,0.9075,6,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HJ53,C:\Users\vikas\Downloads\ls_outputs\2025_HJ53\step14_final_summary.csv
2025 HK53,24.479646770225948,23.346979166666667,174,4.10833306712963,19.24 / 6.74,LS_peak=19.24 h; Adopted=6.74 h,19.239023143631435,6.741879905033238,2,13.483759810066475,6.7369357650169945,0.2797969686341589,0.6167318210605117,0.9031828904901288,0.2864510694296172,1.2939538510092017,ambiguous,0.405,7,8,6.742:0.405; 4.431:0.230; 8.863:0.172; 13.484:0.117; 3.300:0.062,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HK53,C:\Users\vikas\Downloads\ls_outputs\2025_HK53\step14_final_summary.csv
2025 HL53,18.05417175785333,23.238333333333333,182,4.123509039351852,39.59 / 17.03,LS_peak=39.59 h; Adopted=17.03 h,39.58568677777778,17.02610183990442,3,,,0.7116215603523381,0.3780556843120024,0.4198143976495352,0.0417587133375327,1.9259660358908648,insufficient,0.3775,4,8,17.026:0.378; 8.513:0.312; 39.586:0.302; 3.069:0.007; 1.114:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HL53,C:\Users\vikas\Downloads\ls_outputs\2025_HL53\step14_final_summary.csv
2025 HM53,18.157919287929097,22.19924193548387,140,4.113733865740741,4.18 / 6.37,LS_peak=4.18 h; Adopted=6.37 h,4.179031228689007,6.369652437275986,3,,,0.3046331885613943,0.5033583307526932,0.6885808065521779,0.1852224757994847,1.323894187514023,insufficient,0.33,6,8,6.370:0.330; 5.112:0.270; 8.358:0.215; 26.774:0.155; 4.179:0.022,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HM53,C:\Users\vikas\Downloads\ls_outputs\2025_HM53\step14_final_summary.csv
2025 HN53,18.163354503148245,22.78457142857143,125,4.121013518518519,35.97 / 35.97,LS_peak=35.97 h; Adopted=35.97 h,35.96520888888889,35.96520888888889,2,,,0.241767855733239,0.4099663873341406,0.5895286722436168,0.1795622849094762,1.2494162275040706,insufficient,0.5325,7,8,35.965:0.532; 0.586:0.145; 1.118:0.125; 7.757:0.110; 4.795:0.052,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_HN53,C:\Users\vikas\Downloads\ls_outputs\2025_HN53\step14_final_summary.csv
2025 MA10,18.24918123540805,23.35045925925926,274,6.021025,28.20 / 56.39,LS_peak=28.20 h; Adopted=56.39 h,28.196019512195125,56.39203902439025,2,,,0.6004969321088974,0.3875130518122454,0.4937794774057984,0.106266425593553,1.7385963872663486,insufficient,0.3675,7,8,56.392:0.367; 17.384:0.315; 28.196:0.210; 6.317:0.045; 1.446:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA10,C:\Users\vikas\Downloads\ls_outputs\2025_MA10\step14_final_summary.csv
2025 MA11,18.66559318539206,23.250906666666666,209,12.036519594907409,6.58 / 18.20,LS_peak=6.58 h; Adopted=18.20 h,6.584079094650205,18.196943009623794,2,36.39388601924759,18.03042753220268,0.3430127969621424,0.405315824962809,0.6113670614555602,0.2060512364927511,1.3715293912869513,insufficient,0.3625,8,8,18.197:0.362; 10.294:0.198; 5.147:0.188; 9.098:0.090; 6.584:0.085,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA11,C:\Users\vikas\Downloads\ls_outputs\2025_MA11\step14_final_summary.csv
2025 MA12,18.007686313197972,22.68436363636363,54,9.030731099537038,0.40 / 0.78,LS_peak=0.40 h; Adopted=0.78 h,0.4047386487187468,0.7827992646099824,2,1.5655985292199648,10.947073400846875,0.2012084281967514,0.5605865350568138,0.6318224182714367,0.0712358832146229,1.20360330408692,insufficient,0.43,8,8,0.783:0.430; 0.549:0.203; 0.240:0.168; 1.666:0.138; 0.863:0.028,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA12,C:\Users\vikas\Downloads\ls_outputs\2025_MA12\step14_final_summary.csv
2025 MA13,19.528782681086376,23.8719,51,9.03576710648148,41.31 / 8.99,LS_peak=41.31 h; Adopted=8.99 h,41.30636391534392,8.98894966033391,2,17.97789932066782,3.312209639368177,0.5235952669374058,0.6436931010790161,0.8585254324140443,0.2148323313350282,1.619713144979273,insufficient,0.2975,8,8,8.989:0.297; 2.821:0.245; 13.345:0.158; 6.673:0.135; 15.086:0.087,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA13,C:\Users\vikas\Downloads\ls_outputs\2025_MA13\step14_final_summary.csv
2025 MA14,19.377518473591827,23.681311111111107,99,2.133735300925926,5.39 / 10.78,LS_peak=5.39 h; Adopted=10.78 h,5.39048918128655,10.7809783625731,3,,,1.1605765258734877,0.4536195877899374,0.6068852178295927,0.1532656300396553,2.9122631191458583,reliable,0.575,4,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA14,C:\Users\vikas\Downloads\ls_outputs\2025_MA14\step14_final_summary.csv
2025 MA15,18.08843330432478,23.08805,71,2.1273800925925928,3.93 / 3.93,LS_peak=3.93 h; Adopted=3.93 h,3.9274709401709407,3.9274709401709407,2,7.854941880341881,4.086708631884704,0.8980711752240134,0.4423303918759274,0.6142323792632709,0.1719019873873435,2.28680150883046,ambiguous,0.6675,6,8,3.927:0.667; 5.270:0.122; 7.855:0.090; 15.710:0.050; 3.191:0.037,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA15,C:\Users\vikas\Downloads\ls_outputs\2025_MA15\step14_final_summary.csv
2025 MA16,17.986019042648806,22.938883977900552,375,9.03225730324074,22.82 / 45.64,LS_peak=22.82 h; Adopted=45.64 h,22.81833423976608,45.63666847953216,2,,,0.2960906134890799,0.4268490927354378,0.5543948252686022,0.1275457325331643,1.313518655739764,reliable,0.5725,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA16,C:\Users\vikas\Downloads\ls_outputs\2025_MA16\step14_final_summary.csv
2025 MA17,20.423612428239984,23.84538181818182,98,6.000633298611112,19.20 / 38.40,LS_peak=19.20 h; Adopted=38.40 h,19.202026555555555,38.40405311111111,2,,,0.7500727965519984,0.4091662840103467,0.8306937671379337,0.421527483127587,1.9953960980053516,insufficient,0.46,8,8,38.404:0.460; 19.202:0.398; 14.866:0.035; 2.291:0.033; 5.620:0.028,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA17,C:\Users\vikas\Downloads\ls_outputs\2025_MA17\step14_final_summary.csv
2025 MA18,19.29844550083742,23.02747126436782,164,2.1239167939814814,19.42 / 19.42,LS_peak=19.42 h; Adopted=19.42 h,19.41866783068783,19.41866783068783,2,,,0.5046951916491279,0.5886262973969103,0.7853190034899917,0.1966927060930814,1.5917617949172875,reliable,0.52,5,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA18,C:\Users\vikas\Downloads\ls_outputs\2025_MA18\step14_final_summary.csv
2025 MA19,18.00143162510016,22.66398536585365,428,9.033777905092592,4.44 / 4.44,LS_peak=4.44 h; Adopted=4.44 h,4.436023932935492,4.436023932935492,3,8.872047865870984,27.723366368421463,0.9000095358460323,0.4690336118386611,0.53758074791374,0.0685471360750789,2.2908877731773662,reliable,0.905,6,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA19,C:\Users\vikas\Downloads\ls_outputs\2025_MA19\step14_final_summary.csv
2025 MA20,20.034651658419342,23.67269902912622,216,12.047350694444445,100.57 / 100.57,LS_peak=100.57 h; Adopted=100.57 h,100.5691884057971,100.5691884057971,3,,,0.4282086672736294,0.4914869620690538,0.7919862238476192,0.3004992617785653,1.48348605046779,insufficient,0.46,8,8,100.569:0.460; 10.834:0.165; 0.508:0.120; 15.020:0.100; 9.216:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA20,C:\Users\vikas\Downloads\ls_outputs\2025_MA20\step14_final_summary.csv
2025 MA21,20.057749635320747,22.64485929648242,418,9.03282480324074,1.63 / 3.27,LS_peak=1.63 h; Adopted=3.27 h,1.6330530717723373,3.2661061435446745,4,6.532212287089349,37.26708554197444,0.2248404783941522,0.6270777859053496,0.8428460974925684,0.2157683115872188,1.2300880270622288,reliable,0.93,4,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA21,C:\Users\vikas\Downloads\ls_outputs\2025_MA21\step14_final_summary.csv
2025 MA22,19.14977706436953,22.41004545454545,177,12.047350694444445,2.07 / 2.07,LS_peak=2.07 h; Adopted=2.07 h,2.070806923306476,2.070806923306476,2,4.141613846612952,3.963053874079748,0.1524447561549755,0.4013284167342696,0.4609736021511033,0.0596451854168336,1.1507418360282629,insufficient,0.3275,7,8,2.071:0.328; 5.012:0.203; 3.814:0.185; 4.142:0.133; 2.268:0.065,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA22,C:\Users\vikas\Downloads\ls_outputs\2025_MA22\step14_final_summary.csv
2025 MA23,18.25868833676739,23.279666666666667,21,2.121462210648148,3.31 / 2.26,LS_peak=3.31 h; Adopted=2.26 h,3.311550767841012,2.262893024691357,3,4.525786049382715,2.277603607238333,0.5929473943128523,0.7305258527929581,1.0109106588785757,0.2803848060856175,1.726549196596504,insufficient,0.48,3,8,2.263:0.480; 1.110:0.450; 3.527:0.070; 4.526:0.000; 14.292:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA23,C:\Users\vikas\Downloads\ls_outputs\2025_MA23\step14_final_summary.csv
2025 MA24,19.635613824561265,22.932791304347827,231,4.123460601851852,2.47 / 2.47,LS_peak=2.47 h; Adopted=2.47 h,2.474076361111111,2.474076361111111,2,4.948152722222222,11.383808505315985,0.2459698724049352,0.3956213368580386,0.5233303889613303,0.1277090521032917,1.2542610879048224,reliable,0.51,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA24,C:\Users\vikas\Downloads\ls_outputs\2025_MA24\step14_final_summary.csv
2025 MA25,19.123259943683816,23.812166666666663,28,6.095564803240741,23.88 / 0.39,LS_peak=23.88 h; Adopted=0.39 h,23.8846620861678,0.3875325967623252,2,0.7750651935246505,1.2894927779777667,0.239241529386116,0.4069383816161789,0.6674133894797976,0.2604750078636186,1.2465124247929324,insufficient,0.285,5,8,2.268:0.285; 0.324:0.268; 0.388:0.245; 0.649:0.113; 3.024:0.090,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA25,C:\Users\vikas\Downloads\ls_outputs\2025_MA25\step14_final_summary.csv
2025 MA26,19.57445989875137,23.27342857142857,367,12.047805902777778,15.32 / 30.64,LS_peak=15.32 h; Adopted=30.64 h,15.31906445916115,30.6381289183223,2,61.2762578366446,12.975268889035249,0.1333195096896194,0.4631258077124762,0.60396871858579,0.1408429108733138,1.1306490023824605,insufficient,0.235,8,8,13.410:0.235; 6.705:0.180; 30.638:0.170; 42.058:0.168; 0.209:0.138,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA26,C:\Users\vikas\Downloads\ls_outputs\2025_MA26\step14_final_summary.csv
2025 MA27,20.297557329598256,23.86235294117647,72,12.025469895833334,6.69 / 6.69,LS_peak=6.69 h; Adopted=6.69 h,6.692435420289856,6.692435420289856,2,13.384870840579712,0.4544658991736554,0.5910784320469208,0.432619121106832,0.675071722620153,0.242452601513321,1.7235797095711407,insufficient,0.2775,8,8,7.227:0.278; 13.385:0.223; 9.273:0.182; 5.236:0.098; 30.182:0.065,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA27,C:\Users\vikas\Downloads\ls_outputs\2025_MA27\step14_final_summary.csv
2025 MA28,19.43877623029817,22.940964285714287,278,9.027409502314814,55.91 / 55.91,LS_peak=55.91 h; Adopted=55.91 h,55.911697562724015,55.911697562724015,2,,,0.5479666953536,0.6354039774736009,0.8345960170914921,0.1991920396178912,1.6564818364338785,reliable,0.895,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA28,C:\Users\vikas\Downloads\ls_outputs\2025_MA28\step14_final_summary.csv
2025 MA29,19.30026637939764,22.7623743315508,400,12.043807905092592,5.75 / 7.71,LS_peak=5.75 h; Adopted=7.71 h,5.752266462133775,7.70803705925926,2,15.41607411851852,19.04888950090401,0.1827238005483026,0.6741512289490821,0.8827627526305335,0.2086115236814514,1.1832854387580012,insufficient,0.35,8,8,7.708:0.350; 10.232:0.215; 20.464:0.165; 3.854:0.140; 37.600:0.060,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA29,C:\Users\vikas\Downloads\ls_outputs\2025_MA29\step14_final_summary.csv
2025 MA30,18.27697803896162,23.720793103448276,215,12.043837997685186,41.29 / 41.29,LS_peak=41.29 h; Adopted=41.29 h,41.29315884920635,41.29315884920635,2,82.5863176984127,3.386486075190476,0.5258741312583421,0.4353163451621462,0.6358101898560022,0.200493844693856,1.6231163499610706,ambiguous,0.4925,8,8,41.293:0.492; 82.586:0.343; 30.228:0.080; 13.724:0.045; 6.862:0.020,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA30,C:\Users\vikas\Downloads\ls_outputs\2025_MA30\step14_final_summary.csv
2025 MA31,18.37553580611706,22.53027586206896,85,12.042340405092594,4.43 / 14.10,LS_peak=4.43 h; Adopted=14.10 h,4.429366585781184,14.098349742547429,2,28.19669948509485,9.233470707251286,0.3240162020263183,0.8808857067074527,0.8618513622984807,-0.019034344408972,1.34774112552688,insufficient,0.3775,8,8,0.743:0.378; 14.098:0.282; 4.429:0.102; 20.018:0.085; 7.049:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA31,C:\Users\vikas\Downloads\ls_outputs\2025_MA31\step14_final_summary.csv
2025 MA32,18.466675493935465,22.942,273,9.035188900462964,69.39 / 20.41,LS_peak=69.39 h; Adopted=20.41 h,69.39025075555556,20.408897281045757,4,,,0.9411745585744832,0.408302871856204,0.5830434060739016,0.1747405342176975,2.3794129637947017,insufficient,0.365,8,8,20.409:0.365; 69.390:0.255; 17.884:0.198; 35.768:0.110; 8.873:0.037,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA32,C:\Users\vikas\Downloads\ls_outputs\2025_MA32\step14_final_summary.csv
2025 MA33,18.313071354016177,23.489625,37,12.043866203703704,0.25 / 0.42,LS_peak=0.25 h; Adopted=0.42 h,0.2538334040736675,0.4157163705368291,2,0.8314327410736582,5.284332043114567,0.2895653591854589,0.3638981585661653,0.7455259216859531,0.3816277631197877,1.3056481077752136,insufficient,0.53,4,8,0.416:0.530; 0.270:0.235; 0.581:0.203; 0.208:0.033; 0.508:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA33,C:\Users\vikas\Downloads\ls_outputs\2025_MA33\step14_final_summary.csv
2025 MA34,18.468963624504603,23.81111111111111,54,9.997803599537038,0.32 / 0.40,LS_peak=0.32 h; Adopted=0.40 h,0.3188138666519035,0.4009144300566231,2,0.8018288601132462,1.2168677214390442,0.232851255386384,0.5458727519489841,0.7039968149212434,0.1581240629722593,1.2391974245665418,insufficient,0.445,8,8,0.802:0.445; 1.445:0.163; 2.269:0.113; 2.071:0.087; 0.722:0.077,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA34,C:\Users\vikas\Downloads\ls_outputs\2025_MA34\step14_final_summary.csv
2025 MA35,19.130697118995712,23.7138,69,12.043866203703704,11.06 / 5.72,LS_peak=11.06 h; Adopted=5.72 h,11.064221584263692,5.723817601760177,2,,,0.4685914187839229,0.4496966423009461,0.5031640727918365,0.0534674304908904,1.5397016228215294,insufficient,0.3725,8,8,5.724:0.372; 11.064:0.247; 15.065:0.102; 9.213:0.085; 1.324:0.080,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA35,C:\Users\vikas\Downloads\ls_outputs\2025_MA35\step14_final_summary.csv
2025 MA36,18.83790279791219,23.27436440677966,218,12.047350694444445,2.40 / 3.38,LS_peak=2.40 h; Adopted=3.38 h,2.4019640013845622,3.376775669099757,2,6.753551338199514,0.1270551702156126,0.1628449622842051,0.6200430778466988,0.6673547135953157,0.0473116357486169,1.161817690251732,insufficient,0.3625,8,8,0.341:0.362; 6.754:0.228; 3.377:0.188; 4.364:0.128; 19.940:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA36,C:\Users\vikas\Downloads\ls_outputs\2025_MA36\step14_final_summary.csv
2025 MA37,19.309156161353474,24.02607692307692,35,4.0820910995370365,0.30 / 0.38,LS_peak=0.30 h; Adopted=0.38 h,0.3019112061290874,0.376265718248253,2,0.7525314364965061,2.597988800223576,0.3263749073803095,0.3072825624129862,0.539240217001943,0.2319576545889567,1.350672205581248,insufficient,0.3975,6,8,0.376:0.398; 0.335:0.172; 0.302:0.163; 0.532:0.122; 1.382:0.113,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA37,C:\Users\vikas\Downloads\ls_outputs\2025_MA37\step14_final_summary.csv
2025 MA38,18.331372844864944,23.336,45,6.094558703703704,0.44 / 0.15,LS_peak=0.44 h; Adopted=0.15 h,0.4394124187424375,0.1514960216353069,2,0.3029920432706139,1.7775119583772607,0.2236480503153199,0.4587882966712584,0.738990418184521,0.2802021215132626,1.22873780375105,insufficient,0.3575,5,8,0.151:0.357; 0.303:0.263; 0.586:0.235; 0.797:0.113; 0.412:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA38,C:\Users\vikas\Downloads\ls_outputs\2025_MA38\step14_final_summary.csv
2025 MA39,18.945748713045308,23.89984,50,9.02136130787037,6.54 / 9.02,LS_peak=6.54 h; Adopted=9.02 h,6.5362315890985325,9.02136130787037,2,18.04272261574074,2.0697868850879786,0.5717706818906887,0.499663874680234,0.8627057077297131,0.3630418330494791,1.6932000505054214,insufficient,0.3275,7,8,9.021:0.328; 2.181:0.315; 10.280:0.245; 1.845:0.065; 7.202:0.025,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA39,C:\Users\vikas\Downloads\ls_outputs\2025_MA39\step14_final_summary.csv
2025 MA40,19.141387801726413,23.66676470588235,84,9.025546898148148,0.25 / 0.25,LS_peak=0.25 h; Adopted=0.25 h,0.246151279040404,0.246151279040404,2,0.492302558080808,1.658541684070471,0.2302841089752899,0.4703258170830366,0.4726041623304589,0.0022783452474222,1.2362708911167324,insufficient,0.655,8,8,0.246:0.655; 5.536:0.090; 0.369:0.075; 0.711:0.052; 0.492:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA40,C:\Users\vikas\Downloads\ls_outputs\2025_MA40\step14_final_summary.csv
2025 MA41,18.3892138734029,23.730547945205483,95,4.124037604166666,41.67 / 41.67,LS_peak=41.67 h; Adopted=41.67 h,41.6744852631579,41.6744852631579,2,,,0.4964858043539651,0.4804276563919387,0.7801013417691074,0.2996736853771686,1.5797716713550525,insufficient,0.3225,7,8,41.674:0.323; 10.847:0.210; 2.253:0.210; 1.910:0.115; 5.518:0.065,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA41,C:\Users\vikas\Downloads\ls_outputs\2025_MA41\step14_final_summary.csv
2025 MA42,18.562990218160536,23.337371727748693,402,12.047328900462963,18.81 / 18.81,LS_peak=18.81 h; Adopted=18.81 h,18.805586576332438,18.805586576332438,2,37.61117315266487,2.5388109735683884,0.4095044954758723,0.4695868120721052,0.6560767510519128,0.1864899389798076,1.4581486435794366,insufficient,0.375,8,8,18.806:0.375; 21.028:0.265; 88.965:0.247; 37.611:0.055; 14.640:0.033,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA42,C:\Users\vikas\Downloads\ls_outputs\2025_MA42\step14_final_summary.csv
2025 MA43,18.93452030360916,23.967,48,10.020678101851852,1.50 / 1.60,LS_peak=1.50 h; Adopted=1.60 h,1.5031017152777777,1.6046457010471689,2,3.2092914020943377,1.4094333539139186,0.3716035421107386,0.3083710879521923,0.780962684809559,0.4725915968573666,1.4081256736792902,insufficient,0.6275,6,8,1.605:0.627; 3.517:0.185; 1.759:0.095; 3.209:0.048; 5.278:0.043,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA43,C:\Users\vikas\Downloads\ls_outputs\2025_MA43\step14_final_summary.csv
2025 MA44,20.66302147470703,23.42043333333333,48,2.1244092013888887,4.91 / 0.70,LS_peak=4.91 h; Adopted=0.70 h,4.914295983935741,0.7032527011494253,2,1.4065054022988506,9.14484289198552,0.3277083130790527,0.6155625721169358,0.8405001209295939,0.2249375488126581,1.3523320013697988,insufficient,0.4675,4,8,0.703:0.468; 0.938:0.280; 0.839:0.203; 1.875:0.050; 2.070:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA44,C:\Users\vikas\Downloads\ls_outputs\2025_MA44\step14_final_summary.csv
2025 MA45,19.4347295159947,22.50073809523809,119,12.043866203703704,0.82 / 1.63,LS_peak=0.82 h; Adopted=1.63 h,0.8165333019460138,1.6330666038920276,4,3.2661332077840552,80.97192129124812,0.535510671295746,0.4523486031940145,0.5818080191552646,0.1294594159612501,1.6375865720314349,reliable,0.995,3,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA45,C:\Users\vikas\Downloads\ls_outputs\2025_MA45\step14_final_summary.csv
2025 MA46,17.89181777300069,23.131196969696973,291,12.043866203703704,2.61 / 2.61,LS_peak=2.61 h; Adopted=2.61 h,2.60995746175069,2.60995746175069,2,5.21991492350138,2.001375081584115,0.5359265582253041,0.5253504754815559,0.7435525010115178,0.2182020255299619,1.638213963198743,insufficient,0.31,6,8,2.931:0.310; 2.610:0.253; 6.693:0.155; 5.220:0.145; 14.682:0.070,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2025_MA46,C:\Users\vikas\Downloads\ls_outputs\2025_MA46\step14_final_summary.csv
