Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
2014 SS184,18.38217293809,23.575923664122136,225,9.02714380787037,52.52 / 105.04,LS_peak=52.52 h; Adopted=105.04 h,52.52156397306396,105.04312794612792,2,,,0.2876505714947487,0.5353276824425031,0.7058407876900645,0.1705131052475614,1.3033475160711894,insufficient,0.2425,8,8,52.522:0.242; 105.043:0.207; 6.797:0.175; 5.433:0.105; 19.046:0.092,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SS184,C:\Users\vikas\Downloads\ls_outputs\2014_SS184\step14_final_summary.csv
2014 SV44,18.490777479073124,23.13427777777778,181,6.0215125,3.96 / 2.02,LS_peak=3.96 h; Adopted=2.02 h,3.9593506849315063,2.0159204882301656,2,4.031840976460331,9.89698036896607,0.1269231558200081,0.4695365387643768,0.5513082598848413,0.0817717211204644,1.1240076377714758,insufficient,0.3425,8,8,2.016:0.343; 0.266:0.302; 1.008:0.175; 2.414:0.155; 6.335:0.010,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SV44,C:\Users\vikas\Downloads\ls_outputs\2014_SV44\step14_final_summary.csv
2014 SX186,18.348514228765023,23.043740259740257,155,5.970062997685186,0.21 / 0.43,LS_peak=0.21 h; Adopted=0.43 h,0.2071290378669236,0.4286657051441868,3,,,0.1935842851939643,0.5508777991178704,0.7011151443110002,0.1502373451931298,1.195181092484509,insufficient,0.54,8,8,0.429:0.540; 4.837:0.268; 7.255:0.058; 2.470:0.048; 0.162:0.040,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SX186,C:\Users\vikas\Downloads\ls_outputs\2014_SX186\step14_final_summary.csv
2014 SX246,18.106888429422845,22.99908620689655,308,12.046838993055555,0.78 / 2.22,LS_peak=0.78 h; Adopted=2.22 h,0.7806254089323882,2.215510619412516,2,4.431021238825031,9.097371463660693,0.107119314729952,0.5758334122530471,0.7212953022048119,0.1454618899517648,1.1036915711976507,insufficient,0.35,8,8,2.216:0.350; 15.118:0.203; 2.440:0.185; 30.235:0.098; 0.807:0.087,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SX246,C:\Users\vikas\Downloads\ls_outputs\2014_SX246\step14_final_summary.csv
2014 TP123,18.403868386388893,23.35619298245614,208,4.117578506944445,18.82 / 18.82,LS_peak=18.82 h; Adopted=18.82 h,18.823216031746032,18.823216031746032,2,37.646432063492064,2.1060599942214253,0.3295445975050071,0.5650318033937438,0.878364575907792,0.3133327725140482,1.354621109272901,insufficient,0.2825,7,8,7.389:0.282; 14.777:0.205; 5.490:0.188; 18.823:0.175; 0.237:0.095,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_TP123,C:\Users\vikas\Downloads\ls_outputs\2014_TP123\step14_final_summary.csv
2014 UF256,18.33823573700088,23.31208139534884,373,12.047805902777778,3.18 / 3.18,LS_peak=3.18 h; Adopted=3.18 h,3.1774433150183152,3.1774433150183152,2,6.354886630036631,9.12158759155568,0.620490915314859,0.6148856589257754,0.7730251773426033,0.1581395184168279,1.770909493544571,insufficient,0.26,8,8,3.177:0.260; 5.608:0.217; 2.804:0.205; 3.666:0.160; 6.824:0.110,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_UF256,C:\Users\vikas\Downloads\ls_outputs\2014_UF256\step14_final_summary.csv
2014 UF53,18.26287395279165,23.467294117647057,292,12.03795829861111,15.21 / 6.95,LS_peak=15.21 h; Adopted=6.95 h,15.205842061403512,6.951242085213033,2,13.902484170426066,10.811062656329568,0.2188450435555896,0.6560859559067111,0.8029054697620168,0.1468195138553056,1.223314201269324,insufficient,0.3475,8,8,6.951:0.347; 15.206:0.185; 30.412:0.177; 20.822:0.110; 11.006:0.098,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_UF53,C:\Users\vikas\Downloads\ls_outputs\2014_UF53\step14_final_summary.csv
2014 UN260,18.45573536097073,23.42175,89,2.1104387962962963,0.47 / 2.11,LS_peak=0.47 h; Adopted=2.11 h,0.4657520102171136,2.1104387962962967,2,4.220877592592593,0.2978493106361952,0.2952361070343822,0.38384430058899,0.6427863449685383,0.2589420443795482,1.3124852844699704,insufficient,0.2675,5,8,0.932:0.268; 2.110:0.245; 4.221:0.203; 0.433:0.163; 0.466:0.122,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_UN260,C:\Users\vikas\Downloads\ls_outputs\2014_UN260\step14_final_summary.csv
2014 WF280,18.335480171751357,23.16631081081081,337,12.043866203703704,60.85 / 121.71,LS_peak=60.85 h; Adopted=121.71 h,60.853218713450296,121.7064374269006,2,,,0.6697830156243924,0.578561720291006,0.7195342123931177,0.1409724921021116,1.85316123214084,insufficient,0.365,8,8,121.706:0.365; 60.853:0.320; 34.258:0.210; 17.129:0.085; 19.935:0.007,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WF280,C:\Users\vikas\Downloads\ls_outputs\2014_WF280\step14_final_summary.csv
2014 WH160,18.06286445289929,22.943103773584905,456,9.032248703703702,102.01 / 15.35,LS_peak=102.01 h; Adopted=15.35 h,102.01127947712416,15.34682965585054,2,30.69365931170108,4.363465285786901,0.0778523250826406,0.446009614434999,0.5755198791898906,0.1295102647548915,1.0743379821028625,insufficient,0.33,8,8,1.240:0.330; 19.269:0.233; 15.347:0.175; 0.563:0.152; 5.819:0.040,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_WH160,C:\Users\vikas\Downloads\ls_outputs\2014_WH160\step14_final_summary.csv
