Designation,H Mag,Mean Mag,Number of Observations,Arc,Period,Amplitude,g - r,g - i,r - i,Axial Elongation,Reliability,Step11 ambiguous_flag,Step11 family id,Step11 family source,Step11 family bootstrap frac,Step11 strong bootstrap override,Boot harmonic winner flag,Boot harmonic winner flag suppressed,Boot harmonic winner P hr,Step11 global ranking method,Step11 family score role,Additional periods (hr),Additional periods n,Additional periods dBIC,adopt_oe_ratio,adopt_bic_gap_2P,adopt_boot_frac_2P,adopt_boot_frac_base,adopt_morph_force_2p,adopt_prefer_2P,adopt_prefer_2P_reason,adopt_delta_BIC_2P_vs_P,adopt_amp_ratio_2p,adopt_amp_ratio_ok,adopt_combined_ev_2p,adopt_boot_veto_2p,needs_human_review_2p
2025 MV71,18.81140007351331,22.741541666666667,319,12.047350694444445,0.2137576842081681,0.5583725293547177,0.41785373916200896,0.5805687586400587,0.16271501947804978,1.6724340913376834,reliable,False,STEP8_1,step8,1.0,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.5571685536769849,0.0,1.0,0.0,False,True,final post-adoption 2P sanity override,-215.67688404821382,1.3936304084698103,True,True,False,False
2025 MW70,19.01789911762034,22.44681203007519,259,6.010675092592592,3.5860298857501567,0.24535692261104408,0.5753163462287674,0.8300747478251473,0.25475840159637997,1.2535531976263776,insufficient,False,STEP8_1,step8,0.1925,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,3.877|3.335|1.793,3,0.00|17.96|36.83,0.5351480301830034,1.319031848095392,0.1775,0.015,False,True,BIC-dominant 2P physical promotion,-35.505912757484,1.1687823109330524,True,True,False,False
2025 MX34,19.96635665887932,22.365927710843373,174,2.128767800925926,5.854111452546297,1.4671477279694263,0.6257249787489876,0.8084390101801091,0.18271403143112153,3.8624163887229415,ambiguous,True,STEP8_3,step8,0.635,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,6.635|2.927|3.318,3,17.08|19.65|35.04,0.11741761285613721,0.0,0.51,0.125,True,True,morphology-forced 2P (oe_ratio=0.117 <= 0.2),-19.646299349679794,1.8995304857060433,True,True,False,False
2025 MX44,18.43934665979905,23.210670212765955,436,12.047299907407409,1.1507868568269763,0.3552631394917417,0.40730647718662993,0.553384596803383,0.1460781196167531,1.3870919643400175,reliable,False,STEP8_4,step8,0.995,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.49105208973354164,,,,False,False,None,,,False,False,False,False
2025 MX50,20.486134379813045,22.138484375,424,12.033460300925926,1.9437109179285845,0.245484679453279,0.6238484490197322,0.8222370267897148,0.19838857776998253,1.2537007099042836,ambiguous,True,STEP8_3,step8,0.6300000000000001,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,3.887,1,27.78,0.3356065343895772,27.778948094702628,0.07,0.56,False,False,None,27.778948094702628,0.9034534567821854,False,False,False,False
2025 MX63,19.851557324266125,23.218027777777777,316,9.035738090277777,4.143777977707005,0.48078590069982297,0.5833836361124121,0.7927350659502643,0.20935142983785227,1.5570923115014126,reliable,False,STEP8_1,step8,0.7425,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.590463376773096,,,,False,False,None,,,False,False,False,False
2025 MX69,19.945891577750764,22.51384693877551,196,4.118531296296296,9.110115309779827,0.8496657859539605,0.5031541099624945,0.4624945978777433,-0.04065951208475127,2.187088285310279,insufficient,True,STEP8_1,step8,0.27,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,3.839|4.555|7.677,3,18.08|19.83|23.14,0.156206427615689,0.0,0.15,0.12,True,True,morphology-forced 2P (oe_ratio=0.156 <= 0.2),-19.828850595827134,1.079297519643426,False,True,False,False
2025 MY23,19.575932702570206,22.09759649122807,168,12.043866203703704,3.269211561420044,0.2946947690494563,0.5364011012172725,0.7446470868025123,0.20824598558523988,1.311831054610475,ambiguous,True,STEP8_2,step8,0.38,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,1.635|1.529,2,28.07|28.98,0.40396218050831323,0.0,0.35,0.03,False,True,BIC-dominant 2P physical promotion,-28.069254854927294,1.0358070464020095,False,True,False,False
2025 MY77,18.764365809047632,22.50538524590164,249,6.020053900462963,7.64451288947678,1.0826934318558994,0.6013571650350151,0.855487485448382,0.2541303204133669,2.7106745153905742,ambiguous,False,STEP8_1,step8,0.9575,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.2594129936990464,0.0,0.82,0.1375,False,True,final post-adoption 2P sanity override,-40.42490023811979,1.0427000244090823,False,True,False,False
2025 MZ78,18.243159745668265,23.205214285714288,167,4.125476597222223,1.1977190120967742,0.5504960950521397,0.4669792705694249,0.6008398972722375,0.13386062670281262,1.6603453798663597,reliable,False,STEP8_1,step8,0.2125,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,0.584|0.599|0.571|0.614,4,10.77|12.09|34.80|35.24,0.3531731708129095,0.0,0.7875,0.2125,False,True,"combined-evidence 2P v54 (dBIC=-10.77, oe_ratio=0.353, amp_ratio=1.268)",-10.77446022925372,1.268008783996449,True,True,False,False
